ApartmentID,Timestamp,Component,Building,Floor,Unit,LocX,LocY,LocZ,RotPitch,RotYaw,RotRoll,RotXMax,RotXMin,RotYMax,RotYMin,PerpendicularAngleDeg
1-06-603,2026.09.21-11.35.52:825,ViewCameraComponent603_1,1,06,603,-9509.088,3319.735,15870.000,0.000000,112.101204,-0.000000,80.0,-80.0,40.0,-90.0,96.0
1-06-603,2026.09.21-11.35.52:826,ViewCameraComponent603_0,1,06,603,-8326.248,2705.547,15870.000,0.000000,32.590688,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-06-603,2026.09.21-11.35.52:826,ViewCameraComponent603_2,1,06,603,-10099.525,3020.650,15870.000,0.000000,132.098563,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-06-601,2026.09.21-11.35.52:826,ViewCameraComponent601_0,1,06,601,-10693.843,2285.077,15870.000,0.000000,131.935187,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-06-601,2026.09.21-11.35.52:826,ViewCameraComponent601_1,1,06,601,-11165.183,1281.504,15870.000,-0.000000,-167.561878,0.000000,80.0,-80.0,40.0,-90.0,186.0
1-06-601,2026.09.21-11.35.52:826,ViewCameraComponent601_3,1,06,601,-9125.227,-376.196,15870.000,-0.000000,-90.332841,0.000000,80.0,-80.0,40.0,-90.0,276.0
1-06-601,2026.09.21-11.35.52:826,ViewCameraComponent601_2,1,06,601,-10226.426,286.798,15868.971,-0.798938,-177.152666,0.041207,80.0,-50.0,40.0,-90.0,201.0
1-06-601,2026.09.21-11.35.52:826,ViewCameraComponent601_4,1,06,601,-8568.563,116.811,15870.000,0.000000,6.005001,-0.000000,55.0,-50.0,40.0,-90.0,321.0
1-06-602,2026.09.21-11.35.52:826,ViewCameraComponent602_0,1,06,602,-7818.095,932.921,15870.000,-0.000000,-98.026564,0.000000,80.0,-50.0,40.0,-90.0,291.0
1-06-602,2026.09.21-11.35.52:826,ViewCameraComponent602_1,1,06,602,-7473.301,1683.399,15870.000,0.000000,0.000000,-0.000000,80.0,-80.0,40.0,-90.0,6.0
1-06-602,2026.09.21-11.35.52:826,ViewCameraComponent602_2,1,06,602,-8027.818,2312.169,15870.000,0.000000,72.309996,-0.000000,70.0,-70.0,40.0,-90.0,51.0
2-02-202,2026.09.21-11.35.52:837,ViewCameraComponent202_0,2,02,202,-8109.094,-3918.908,14280.000,-9.166293,-129.626260,3.111578,50.0,-70.0,40.0,-90.0,231.0
2-02-202,2026.09.21-11.35.52:837,ViewCameraComponent202_1,2,02,202,-6960.955,-3857.103,14280.000,-0.000000,-73.882798,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-02-201,2026.09.21-11.35.52:837,ViewCameraComponent201_0,2,02,201,-8687.131,-2468.206,14280.000,0.000000,156.540326,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-02-201,2026.09.21-11.35.52:837,ViewCameraComponent201_1,2,02,201,-8474.559,-3612.053,14280.000,-9.670110,-131.516540,-0.000000,50.0,-70.0,40.0,-90.0,231.0
2-02-203,2026.09.21-11.35.52:837,ViewCameraComponent203_0,2,02,203,-6644.463,-3514.012,14280.000,-0.000000,-75.362698,0.000000,80.0,-80.0,40.0,-90.0,321.0
